Режим DEBUG: 2021-06-02 16:21:36,256  dev  INFO: Get offers of mark Mitsubishi for  
Режим DEBUG: 2021-06-02 16:21:37,699  dev  INFO: Get details of offer Mitsubishi Eclipse 2000
Режим DEBUG: 2021-06-02 16:21:39,801  dev  INFO: Get offers of mark Mitsubishi for  
Режим DEBUG: 2021-06-02 16:21:41,675  dev  INFO: Get favorite offers for  
Режим DEBUG: 2021-06-02 16:21:43,212  dev  INFO: Get offers for  
Режим DEBUG: 2021-06-02 16:21:44,505  dev  INFO: Get details of offer Nissan Silvia 1999
Режим DEBUG: 2021-06-02 16:22:02,233  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 16:22:45,105  dev  INFO: Get details of offer Nissan Skyline 2000
Режим DEBUG: 2021-06-02 16:22:59,288  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 16:23:00,648  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 16:23:08,680  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 16:23:08,681  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 16:23:09,212  dev  INFO: Authorised user user
Режим DEBUG: 2021-06-02 16:23:09,243  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 16:25:57,946  dev  INFO: Get details of offer Nissan Skyline 2000
Режим DEBUG: 2021-06-02 16:26:10,640  dev  INFO: Get offers of mark Nissan for Vlad Krapivnitsky
Режим DEBUG: 2021-06-02 16:26:17,963  dev  INFO: Get favorite offers for Vlad Krapivnitsky
Режим DEBUG: 2021-06-02 16:26:26,519  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 16:26:55,829  dev  INFO: Get favorite offers for Vlad Krapivnitsky
Режим DEBUG: 2021-06-02 16:26:56,808  dev  INFO: Get self offers for Vlad Krapivnitsky
Режим DEBUG: 2021-06-02 16:26:59,225  dev  INFO: Get offers for Vlad Krapivnitsky
Режим DEBUG: 2021-06-02 16:27:04,730  dev  INFO: User Vlad Krapivnitsky added to favorites offer Nissan Silvia 1999
Режим DEBUG: 2021-06-02 16:27:04,770  dev  INFO: Get offers for Vlad Krapivnitsky
Режим DEBUG: 2021-06-02 16:27:05,490  dev  INFO: User Vlad Krapivnitsky added to favorites offer Nissan Skyline 2000
Режим DEBUG: 2021-06-02 16:27:05,523  dev  INFO: Get offers for Vlad Krapivnitsky
Режим DEBUG: 2021-06-02 16:27:06,947  dev  INFO: User Vlad Krapivnitsky added to favorites offer Mitsubishi Eclipse 2000
Режим DEBUG: 2021-06-02 16:27:06,982  dev  INFO: Get offers for Vlad Krapivnitsky
Режим DEBUG: 2021-06-02 16:27:15,715  dev  INFO: User Vlad Krapivnitsky removed from favorites offer Nissan Skyline 2000
Режим DEBUG: 2021-06-02 16:27:15,750  dev  INFO: Get offers for Vlad Krapivnitsky
Режим DEBUG: 2021-06-02 16:27:17,026  dev  INFO: User Vlad Krapivnitsky removed from favorites offer Nissan Silvia 1999
Режим DEBUG: 2021-06-02 16:27:17,074  dev  INFO: Get offers for Vlad Krapivnitsky
Режим DEBUG: 2021-06-02 16:27:18,872  dev  INFO: User Vlad Krapivnitsky added to favorites offer Mitsubishi Lancer Evolution 2000
Режим DEBUG: 2021-06-02 16:27:18,918  dev  INFO: Get offers for Vlad Krapivnitsky
Режим DEBUG: 2021-06-02 17:43:52,040  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 17:43:52,091  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 17:43:52,159  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 17:43:52,160  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 17:43:52,163  dev  ERROR: User aboba not found
Режим DEBUG: 2021-06-02 17:43:52,164  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 17:43:52,287  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 17:43:52,289  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 17:43:52,292  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 17:43:52,729  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 17:43:52,734  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:26:08,459  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:26:08,600  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:26:08,667  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:26:08,668  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:26:08,671  dev  ERROR: User aboba not found
Режим DEBUG: 2021-06-02 21:26:08,673  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 21:26:08,736  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 21:26:08,737  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 21:26:08,740  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 21:26:09,176  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 21:26:09,181  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:26:36,793  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:26:36,811  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:26:36,846  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:26:36,909  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:26:36,942  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:26:36,944  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:26:36,946  dev  ERROR: User aboba not found
Режим DEBUG: 2021-06-02 21:26:36,947  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 21:26:36,972  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 21:26:36,976  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 21:26:36,980  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 21:26:37,429  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 21:26:37,435  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:27:16,468  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:27:16,485  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:27:16,520  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:27:16,584  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:27:16,612  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:27:16,614  dev  INFO: Validating users authenticating
